,address,city,floor,id,latitude,longitude,price,rooms,sq,year
21,Ochota Stara Ochota,Warszawa,3,12716,52.21691,20.97827,950000,3,72,1960
22,Nowe Miasto Malta ul. Katowicka,Poznañ,3,5789,52.3973449,16.9619394,563905,4,77.78,2022
23,Bemowo ul. ks. Juliana Chroœcickiego,Warszawa,4,9002,52.2319581,21.0067249,670000,3,65.1,2013
24,Stare Miasto Wilczak Wilczak 16 A,Poznañ,1,6235,52.4300916,16.95147258,442700,3,58.25,2020
25,Je¿yce,Poznañ,4,4837,52.413045,16.9022122,496369,2,41.57,2020
26,Pr¹dnik Czerwony ul. Œliczna,Kraków,1,20324,50.0469432,19.99715344,756707.4,4,82.43,2021
27,Stare Miasto,Kraków,0,25697,50.0590398,19.9371683,949000,2,84.8,1936
28,Œródmieœcie Mokotowska,Warszawa,2,7519,52.2215263,21.0185237,2256000,3,94,1890
29,Pr¹dnik Bia³y Henryka Pachoñskiego,Kraków,6,22385,50.0949773,19.92040549,405900,2,41,2022
30,Dêbniki Ruczaj prof. Micha³a Bobrzyñskiego,Kraków,4,30144,50.0206269,19.8981903,699000,2,60,2010
31,Grunwald Jeleniogórska 1/3,Poznañ,0,5569,52.404212,16.882542,456711,3,66.19,2021
32,Œródmieœcie Grzybowska,Warszawa,10,7807,52.2357458,20.9937207,440000,2,39,1972
33,Podgórze Zab³ocie,Kraków,3,27693,50.0478769,19.96136869,530000,1,31,2016
34,Podgórze Rzemieœlnicza,Kraków,2,28526,50.0469432,19.99715344,529000,3,53.84,2021
35,Je¿yce ul. œw. Wawrzyñca 11,Poznañ,5,5073,52.4201252,16.8956979,360916,2,39.23,2022
36,Praga-Pó³noc Z¹bkowska,Warszawa,1,13408,52.2548127,21.0478273,840000,2,47,2019
37,Œródmieœcie ul. Mokotowska,Warszawa,2,9207,52.2215263,21.0185237,1699000,2,65.55,2009
38,Stare Miasto Piasek £obzowska,Kraków,1,20681,50.0713737,19.9280904,620000,2,43,1990
39,Wola K³opot,Warszawa,1,9194,52.2572165,20.9777793,865000,2,51.59,2020
40,Praga-Po³udnie Ml¹dzka,Warszawa,4,15720,52.2319581,21.0067249,670000,2,50,2018
41,Podgórze Duchackie Kurdwanów por. Halszki,Kraków,0,18497,50.00581295,19.94770944,159000,2,49,2000
42,Zwierzyniec Wola Justowska Jesionowa,Kraków,0,29381,50.067974,19.8748544,899000,3,74.44,2020
43,Stare Miasto pl. Na Groblach,Kraków,0,26869,50.0561004,19.9320048,595000,1,31.24,2019
44,Stare Miasto Naramowice ul. Czarnucha,Poznañ,1,2011,52.4499763,16.9527562,507830.4,3,75.57,2020
45,Wola,Warszawa,1,6596,52.2362379,20.9547815,530000,1,37,2003
46,Podgórze Duchackie ul. Walerego S³awka,Kraków,6,24758,50.0242313,19.959569,539000,3,57.81,2021
47,Mokotów,Warszawa,0,10527,52.1939874,21.0457809,458000,2,44,1974
48,Ochota Grójecka,Warszawa,4,12808,52.211874,20.977725,319000,1,23,1960
49,Nowe Miasto Malta ul. Katowicka,Poznañ,0,4954,52.3973449,16.9619394,430695,3,50.67,2022
50,Grzegórzki ul. Fabryczna,Kraków,8,28842,50.058444,19.9702351,971904,3,75.93,2021
51,Wzgórza Krzes³awickie ul.Gustawa Morcinka,Kraków,0,26701,50.1047809,20.0362743,270648,2,37.59,2022
52,Dêbniki Kliny-Zacisze bpa Albina Ma³ysiaka,Kraków,1,23510,49.9988318,19.8938784,266500,1,31.59,2020
53,Wola Juliana Konstantego Ordona,Warszawa,1,14803,52.2247928,20.9525803,517329,2,45.24,2021
54,Bia³o³êka,Warszawa,1,15658,52.3196649,21.0211773,430336,1,33.62,2019
55,Nowa Huta Czy¿yny,Kraków,6,26149,50.0816349,20.01649071,498000,2,49.08,2019
56,Krowodrza,Kraków,10,23192,50.07087985,19.91656312,455000,3,45,1976
57,Je¿yce ul. œw. Wawrzyñca 11,Poznañ,0,5090,52.4201252,16.8956979,474128.2,3,62.14,2022
58,Wola Mirów Jaktorowska,Warszawa,4,11641,52.2342783,20.978731,420000,1,26.8,2017
59,Praga-Po³udnie Goc³aw,Warszawa,3,9610,52.2286331,21.1065722,486540,2,44.94,2022
60,Bronowice ul. Bronowicka 5,Kraków,4,28296,50.0778251,19.90068099,1038636,3,88.02,2021
61,Grzegórzki ul. Fabryczna,Kraków,5,28954,50.058444,19.9702351,533455,1,36.79,2021
62,Bie¿anów-Prokocim Z³ocieniowa,Kraków,0,19457,50.0181408,20.0508626,382301,2,52.37,2020
63,Nowe Miasto Malta ul. Katowicka,Poznañ,2,5745,52.3973449,16.9619394,417112.5,2,47.67,2022
64,Pr¹dnik Czerwony ul. Celarowska,Kraków,2,20837,50.081864,19.9546492,349000,2,37.06,1980
65,Stare Miasto Centrum ul. Ostrów Tumski,Poznañ,3,77,52.4113371,16.9476211,445000,2,39.06,2021
66,Nowe Miasto Malta abpa Walentego Dymka,Poznañ,2,4250,52.3938613,16.9910647,461004,3,60.4,2020
67,Praga-Po³udnie Saska Kêpa,Warszawa,3,12598,52.23280325,21.05466008,670000,2,38,1938
68,Stare Miasto Starowiœlna,Kraków,3,25004,50.0469432,19.99715344,709000,2,53.4,1926
69,Nowe Miasto Kobyle Pole ul. abp. Walentego Dymka,Poznañ,3,3733,52.4006632,16.91973259,468300,3,66.9,2022
70,Grzegórzki D¹bie D¹bska,Kraków,0,20454,50.064613,19.9820189,730000,3,73.81,2013
71,Podgórze Okólna,Kraków,4,21240,50.0164142,19.9837781,439000,3,48.2,1980
72,Wola Mirów Srebrna,Warszawa,9,15326,52.2270648,20.9879443,519000,2,35.5,1963
73,Praga-Po³udnie Saska Kêpa Miêdzynarodowa,Warszawa,1,18213,52.2333644,21.0678467,515000,2,37.5,1970
74,Bia³o³êka,Warszawa,2,15659,52.3196649,21.0211773,460000,3,65,2019
75,Praga-Po³udnie Grochowska,Warszawa,4,7850,52.2497745,21.1068857,480000,2,43.9,1970
76,Wilanów ul. Adama Branickiego,Warszawa,0,15754,52.154572,21.0706211,1388000,3,110.8,2015
77,Praga-Po³udnie,Warszawa,9,16147,52.2373961,21.0712578,699000,2,55.2,2012
78,Œródmieœcie ul. Grzybowska,Warszawa,6,17600,52.2357458,20.9937207,430000,2,28,1980
79,W³ochy,Warszawa,4,11572,52.1861093,20.9484377,550000,3,49,1971
80,Je¿yce,Poznañ,1,1203,52.413045,16.9022122,289000,2,37.56,1949
81,Bia³o³êka K¹ty Grodziskie,Warszawa,1,10910,52.3246245,21.0547602,393000,3,53,2021
82,Podgórze ul. Koszykarska,Kraków,2,22169,50.0498929,19.9906026,543558,3,53,2021
83,Praga-Po³udnie Goc³aw ul. gen. Tadeusza Bora-Komorowskiego,Warszawa,1,6918,52.2319581,21.0067249,630000,2,43.89,2020
84,Nowe Miasto Rataje os. Piastowskie,Poznañ,10,804,52.3958333,17.2202778,348900,2,48.4,1977
85,Nowe Miasto Komandoria,Poznañ,0,1788,52.4122222,16.9694444,499000,2,60,2000
86,Wilda Przemys³owa,Poznañ,1,250,52.392868,16.9194578,385000,2,59.1,1920
87,Bie¿anów-Prokocim Z³ocieñ,Kraków,4,21395,50.0225216,20.0481276,290829,2,37.77,2021
88,Nowa Huta Okulickiego,Kraków,1,21713,50.087129,19.9950474,580000,3,62,2014
89,Mokotów,Warszawa,7,12413,52.1939874,21.0457809,916860,3,65,2018
90,Bia³o³êka,Warszawa,2,11586,52.3196649,21.0211773,659000,4,75.3,2017
91,Stare Miasto Miodowa,Kraków,3,25196,50.05278,19.9447455,985000,3,53,1920
92,ma³opolskie,Kraków,3,18338,50.0619474,19.9368564,429000,2,46.69,2021
93,Bie¿anów-Prokocim Bie¿anów,Kraków,4,26721,50.0128958,20.0258584,372154,3,50.98,2021
94,Podgórze Duchackie Wola Duchacka,Kraków,5,22257,50.0146222,19.953758,546910,3,60.1,2021
95,Bronowice Stañczyka,Kraków,1,29033,50.0788285,19.8942504,302111.2,1,29.33,2021
96,Wilanów Sarmacka,Warszawa,1,6291,52.1656517,21.0767961,1250000,3,94.83,2007
97,Mistrzejowice,Kraków,1,27576,50.09742625,20.00960263,502374,4,66.12,2020
98,Ursynów,Warszawa,2,6443,52.141039,21.0323214,875000,3,72,2001
99,¯oliborz Rydygiera,Warszawa,1,11601,52.2590164,20.9919642,518100,1,31.4,2020
100,Mokotów Sielce Aleksandra Gierymskiego,Warszawa,1,8348,52.1988937,21.0358363,350000,2,33.18,1980
101,Pr¹dnik Bia³y Henryka Pachoñskiego,Kraków,5,20534,50.0949773,19.92040549,418362,3,46.94,2021
102,Nowe Miasto Malta ul. Katowicka,Poznañ,3,5820,52.3973449,16.9619394,326705,2,34.39,2022
103,Ursynów Wyczó³ki ul. K³obucka,Warszawa,3,6270,52.1599734,20.99091619,840000,3,66,2018
104,Ursus,Warszawa,2,13586,52.1960985,20.8828989,799990,3,77.75,2007
105,Nowe Miasto Malta ul. Katowicka,Poznañ,4,5079,52.3973449,16.9619394,308750,2,32.5,2022
106,Grunwald ul. Artura Grottgera,Poznañ,1,4000,52.4013241,16.8972699,499999,2,63,1935
107,Pr¹dnik Czerwony,Kraków,2,21409,50.0859419,19.96660061,510000,3,52.83,1980
108,Bielany,Warszawa,10,16061,52.2776126,20.9472054,539000,3,51,1972
109,Bia³o³êka ul. Miko³aja Tr¹by,Warszawa,1,8399,52.2319581,21.0067249,401000,2,48,2020
110,£agiewniki-Borek Fa³êcki Zakopiañska,Kraków,1,28507,50.0230861,19.9337391,619000,4,88.3,1911
111,Dêbniki Ruczaj Chmieleniec,Kraków,1,29709,50.0204807,19.8980137,529900,2,54,2007
112,Praga-Po³udnie Goc³aw,Warszawa,9,16684,52.2286331,21.1065722,565000,3,65,1980
113,Je¿yce Podolany,Poznañ,3,632,52.456781,16.887939,289000,2,29.17,2020
114,Wola,Warszawa,6,16651,52.2362379,20.9547815,1930000,5,120,2020
115,Pr¹dnik Bia³y Józefa Che³moñskiego,Kraków,1,25490,50.0863097,19.9139884,440000,2,48.4,2008
116,Bie¿anów-Prokocim,Kraków,0,28245,50.01706235,20.02299186,498312,4,61.52,2021
117,Wilanów Piechoty £anowej,Warszawa,1,9761,52.1728323,21.0851058,4150000,6,257.92,2020
118,Wola Czyste,Warszawa,1,12591,52.2200627,20.9652859,1169000,4,69.28,2018
119,Pr¹dnik Czerwony Reduta,Kraków,3,18405,50.1609054,19.74308913,680000,3,61.01,2017
120,Mistrzejowice ul. Piasta Ko³odzieja,Kraków,6,28349,50.0986433,20.0132206,756284,4,87.94,2020
121,Ursynów ul. K³obucka,Warszawa,1,12867,52.1599734,20.99091619,495000,2,42.9,2020
122,Stare Miasto,Kraków,4,22172,50.0590398,19.9371683,399000,1,24.5,1930
123,Targówek,Warszawa,9,11585,52.2751918,21.0580854,315000,1,30.5,1973
124,Nowa Huta Czy¿yny Nowohucka 46,Kraków,1,30171,50.0558029,19.9993305,305370,1,26.1,2022
125,Podgórze Duchackie Wola Duchacka Henryka Kamieñskiego,Kraków,7,20826,50.0288704,19.9568753,369000,2,38.86,2021
126,Wilda,Poznañ,3,1124,52.3897748,16.9174381,435000,1,38,2020
127,Praga-Pó³noc Z¹bkowska,Warszawa,5,8609,52.2548127,21.0478273,1150000,3,79,2019
128,Ursus Królów Polskich,Warszawa,0,13657,52.24932145,20.99317362,569000,3,63.3,2005
129,Œródmieœcie,Warszawa,10,13009,52.2328098,21.019067,9506700,5,271.6,2021
130,Targówek Turmoncka,Warszawa,0,12528,52.2968599,21.0366559,450000,3,47.5,1973
131,Krowodrza Stara Krowodrza,Kraków,2,21343,50.0788515,19.928968,785000,3,49.41,2019
132,Grunwald ul. Budziszyñska,Poznañ,0,1764,52.3932361,16.8411942,503690,3,60.25,2021
133,Stare Miasto Pi¹tkowo,Poznañ,4,372,52.4006632,16.91973259,479000,3,67.3,1980
134,Mokotów ul. Wyglêdowska,Warszawa,1,7746,52.1950111,20.9852946,1228000,3,78.6,2006
135,Nowe Miasto Malta ul. Katowicka,Poznañ,1,5694,52.3973449,16.9619394,470160,2,58.77,2022
136,Podgórze Duchackie Walerego S³awka,Kraków,6,24119,50.0242313,19.959569,419000,2,44.26,2020
137,Mokotów Aleja Lotników,Warszawa,4,8499,52.2161447,21.00928852,545000,2,43,1975
138,Stare Miasto Naramowice,Poznañ,1,654,52.4496489,16.9494082,199000,1,25,2021
139,Podgórze P³aszów,Kraków,1,24086,50.0345327,19.9754459,523000,3,65.38,2022
140,Bie¿anów-Prokocim Republiki Korczakowskiej,Kraków,6,24302,50.0163919,20.0008638,619000,3,62.5,2014
141,Podgórze Duchackie Wola Duchacka Adama Bochenka,Kraków,0,27521,50.0127186,19.9775244,319000,2,35.41,2021
142,Pr¹dnik Bia³y Górka Narodowa abp. Zygmunta Szczêsnego Feliñskiego,Kraków,4,27631,50.1003474,19.9684566,519000,2,55.67,2014
143,Mokotów Sadyba Jana III Sobieskiego,Warszawa,4,8180,52.2174171,21.0354469,955241,4,82,2021
144,Bia³o³êka Nowodwory,Warszawa,1,14817,52.35123,20.9444889,380000,2,38.7,2001
145,Pr¹dnik Bia³y Stefana Banacha,Kraków,1,20790,50.1015333,19.9640995,528381,3,57.9,2021
146,ma³opolskie,Kraków,9,23132,50.0619474,19.9368564,532350,3,68.25,2018
147,Je¿yce ul. œw. Wawrzyñca 11,Poznañ,5,5042,52.4201252,16.8956979,905951.2,4,93.59,2022
148,Œródmieœcie,Warszawa,10,10155,52.2328098,21.019067,1650000,4,160,2000
149,Krowodrza Kazimierza Wielkiego,Kraków,1,21223,50.073573,19.9193678,630015,3,48.5,2020
150,Bielany ul. Josepha Conrada,Warszawa,2,16656,52.2725335,20.92966996,659000,4,68.7,1978
151,Nowa Huta Czy¿yny ul. So³tysowska,Kraków,3,22542,50.0605887,20.0240353,535200,3,55.75,2022
152,Nowa Huta Czy¿yny,Kraków,2,27385,50.0816349,20.01649071,295000,2,27,2019
153,Mokotów ul. Bia³ego Dêbu 1,Warszawa,2,7769,52.183924,21.042562,1469300,4,91.63,2021
154,Dêbniki Ruczaj dr. Jana Piltza,Kraków,4,20156,50.0076191,19.8888826,352644,2,35.27,2021
155,Je¿yce ul. œw. Wawrzyñca 11,Poznañ,4,5045,52.4201252,16.8956979,551561.1,3,68.01,2022
156,Praga-Pó³noc,Warszawa,2,16301,52.2648843,21.0273442,380000,1,30,1960
157,Podgórze Walerego S³awka,Kraków,1,24572,50.0242313,19.959569,749000,4,88.73,2020
158,W³ochy Stare W³ochy Czereœniowa,Warszawa,2,16788,52.2319581,21.0067249,920000,3,81,2008
159,Stare Miasto Centrum,Poznañ,3,1840,52.3601021,16.84983412,390000,1,40,2020
160,Podgórze ul. dr. Jana Piltza,Kraków,2,20700,50.0076191,19.8888826,660000,3,67.21,2021
161,Mokotów MARINA ul. Rajska,Warszawa,1,6310,52.1923474,20.9893179,1404000,5,108.36,2007
162,Stare Miasto Naramowice ul. Czarnucha,Poznañ,0,1028,52.4499763,16.9527562,442105.2,4,64.92,2022
163,Dêbniki Ruczaj,Kraków,1,22470,50.0230156,19.9083637,994220,5,139,2022
164,Grzegórzki ul. Fabryczna,Kraków,4,19901,50.058444,19.9702351,518665,1,35.77,2021
165,Ursynów K³obucka,Warszawa,3,13985,52.1599734,20.99091619,810000,3,69.78,2015
166,Targówek,Warszawa,5,14311,52.2751918,21.0580854,480000,2,50.7,1989
167,Nowa Huta Czy¿yny os. Z³otej Jesieni,Kraków,2,20578,50.0921707,20.0255051,335000,1,38,1976
168,Wola Odolany,Warszawa,10,12407,52.2143854,20.9478636,959373,3,74.37,2021
169,Targówek Bródno Piotra Wysockiego,Warszawa,9,11312,52.2900258,21.0300729,315000,1,30.5,1974
170,Praga-Po³udnie ul. £ukowska 31,Warszawa,7,11032,52.23792595,21.09824681,649000,3,71.5,1987
171,Wola ul. Marcina Kasprzaka,Warszawa,10,6814,52.22729845,20.95301421,360000,1,31,2021
172,Wawer Falenica,Warszawa,1,6642,52.1620483,21.2106772,629000,5,127.16,2020
173,Ochota,Warszawa,3,9397,52.212225,20.9726299,328500,2,24,1970
174,Grunwald £azarz Marcina Kasprzaka,Poznañ,0,1022,52.3886627,16.8908544,534900,3,60.99,1960
175,Mistrzejowice ul. Piasta Ko³odzieja,Kraków,3,23342,50.0986433,20.0132206,409530,2,48.18,2022
176,Pr¹dnik Bia³y Dobrego Pasterza,Kraków,2,29450,50.08854595,19.95841912,610000,2,45,2019
177,Ochota ul. M¹twicka,Warszawa,1,13436,52.2319581,21.0067249,1250000,4,94.4,2019
178,Nowa Huta Czy¿yny Nowohucka 46,Kraków,2,30147,50.0558029,19.9993305,468966,3,49.89,2022
179,Pr¹dnik Czerwony Marka Eminowicza,Kraków,1,25162,50.0868616,19.9696987,1045000,4,200,1984
180,Wzgórza Krzes³awickie ul.Gustawa Morcinka,Kraków,1,26744,50.1047809,20.0362743,436779,4,69.33,2022
181,Bielany M³ociny Lekka,Warszawa,7,12535,52.2861129,20.9272115,745000,2,48.94,2020
182,Nowe Miasto Zawady Studzienna,Poznañ,3,1750,52.4205511,16.9649872,489207,2,64.15,2021
183,Bie¿anów-Prokocim Bie¿anów Opalowa,Kraków,0,19094,50.021354,20.0519146,275855,2,44.5,2023
184,Grzegórzki ul. Fabryczna,Kraków,4,28851,50.058444,19.9702351,1026066,3,83.42,2021
185,Wola ul. Józefa Bema,Warszawa,4,13910,52.2287779,20.95956983,849000,3,84,2003
186,Grunwald Górczyn Jakuba Krauthofera,Poznañ,0,4890,52.386959,16.89086747,265900,1,35.51,2021
187,Mokotów ul. Jana III Sobieskiego,Warszawa,8,16426,52.1904607,21.0467831,393000,2,31,1980
188,Bielany ul. Rudzka 5,Warszawa,5,7636,52.27851165,20.9734368,676300,2,52.89,2021
189,Bronowice ul. Bronowicka,Kraków,3,20422,50.0778251,19.90068099,596646,2,46.98,2022
190,Wola,Warszawa,1,13539,52.2362379,20.9547815,898261,4,91.8,2021
191,Pr¹dnik Bia³y Azory ul. Piotra Stachiewicza,Kraków,0,25603,50.0852974,19.9164193,315000,2,37,1968
192,Je¿yce Winiary ul. œw. Leonarda,Poznañ,0,2747,52.4333637,16.91164347,390522,2,42.68,2020
193,£agiewniki-Borek Fa³êcki Borek Fa³êcki ¯ywiecka,Kraków,4,20893,50.014117,19.9179187,399000,3,45.5,2020
194,Stare Miasto Centrum,Poznañ,3,1331,52.3601021,16.84983412,1108000,5,187.8,1904
195,Pr¹dnik Czerwony ul. Zenona Klemensiewicza,Kraków,1,26936,50.0814925,19.9500226,210000,1,13.3,2021
196,Praga-Po³udnie,Warszawa,4,6574,52.2373961,21.0712578,720000,3,69,1970
197,Wilanów Sarmacka,Warszawa,1,10078,52.1656517,21.0767961,1150000,3,93.2,2009
198,Œródmieœcie ul. Grzybowska,Warszawa,6,13327,52.2357458,20.9937207,1299000,2,71.6,2004
199,¯oliborz,Warszawa,0,13678,52.2675944,20.9796975,1150000,3,70.85,2016
200,Podgórze Pana Tadeusza,Kraków,0,22388,50.0495539,19.9719694,466000,3,48.8,1970
201,Dêbniki Ruczaj,Kraków,1,27723,50.0230156,19.9083637,397992,2,43.26,2021
202,Je¿yce Stanis³awa Szczepanowskiego,Poznañ,1,3942,52.4188529,16.8976818,538802.56,3,71.26,2021
203,Pr¹dnik Bia³y Szymona Zimorowicza,Kraków,4,21165,50.0950503,19.9284425,465000,3,49.02,2020
204,Bie¿anów-Prokocim Górników,Kraków,0,27099,50.021319,19.9953253,460000,2,46.3,2014
205,Nowa Huta Osiedle Urocze,Kraków,3,23702,50.0779373,20.0341341,350000,1,36.9,1956
206,Stare Miasto Winogrady,Poznañ,0,124,52.4348647,16.9383531,455000,4,65,1980
207,Grzegórzki Olsza,Kraków,7,21886,50.0789773,19.9605879,330000,2,36,1980
208,Wilanów Miasteczo Wilanów ul. Sarmacka,Warszawa,3,12870,52.1676858,21.0753396,1550000,4,119.48,2008
209,Wola,Warszawa,1,13511,52.2362379,20.9547815,1199000,3,70,2013
210,Bie¿anów-Prokocim ul. Mariana Domaga³y,Kraków,4,28608,50.0219561,20.0509824,547470,4,71.1,2021
211,Podgórze Stare Podgórze ul. Nadwiœlañska,Kraków,6,19851,50.0469432,19.99715344,2300000,3,86.6,2016
212,Bielany al. Aleja W³adys³awa Reymonta,Warszawa,10,6351,52.2743857,20.9376719,599000,3,56,1975
213,Bie¿anów-Prokocim Z³ocieñ Z³ocieniowa,Kraków,1,19689,50.0181408,20.0508626,611000,3,64,2018
214,Œródmieœcie Œródmieœcie Po³udniowe ul. Wilcza,Warszawa,4,11494,52.22519855,21.01792515,1159000,2,62,1936
215,Nowa Huta Czy¿yny So³tysowska,Kraków,5,25836,50.0605887,20.0240353,495000,3,63.28,2021
216,Dêbniki gen. Antoniego Józefa Madaliñskiego,Kraków,3,18901,50.0527679,19.9282413,1574937,2,63,2019
217,Grunwald Górczyn ul. Romana Dmowskiego,Poznañ,3,5460,52.3817991,16.8916385,418900,2,59.79,2021
218,Bie¿anów-Prokocim Bie¿anów Agatowa,Kraków,4,20808,50.0225216,20.0481276,374344,2,51,2021
219,Wola Kolska 9,Warszawa,2,8869,52.2506604,20.9768777,538000,2,33.33,2019
220,Dêbniki ul. Sandomierska,Kraków,3,19149,50.0517401,19.9311178,944760,3,78.73,2015
221,Targówek Trocka,Warszawa,2,14863,52.2753464,21.0554496,330000,1,36,1990
222,Stare Miasto Kazimierz,Kraków,1,19633,50.051855,19.9449466,1000000,3,78.7,1900
223,Mokotów Bokserska,Warszawa,5,13048,52.1696586,20.9970149,870000,3,90,2021
224,Wawer ul. Leœniczówka,Warszawa,0,8101,52.2319581,21.0067249,729000,4,69.51,2020
225,Centrum,Warszawa,4,11458,52.2311577,21.0100632,769000,2,46.1,1966
226,Dêbniki Stare Dêbniki ul. Praska,Kraków,2,19166,50.0462081,19.9106477,479000,2,51.5,1950
227,Ursus ul. Posag 7 Panien,Warszawa,1,9480,52.2059446,20.8852777,409000,3,49.5,2021
228,Targówek,Warszawa,1,18275,52.2751918,21.0580854,580000,4,60,1980
229,Nowa Huta Osiedle Spó³dzielcze,Kraków,2,22847,50.0777259,20.0272257,265000,2,32.6,1968
230,Podgórze P³aszów Lipska,Kraków,1,23005,50.0454593,20.0002025,448810,3,48.52,2021
231,Pr¹dnik Czerwony M³yñska-Boczna,Kraków,4,28319,50.0831155,19.9737526,350000,2,37,1960
232,Mokotów ul. Domaniewska 34B,Warszawa,7,9197,52.1839266,21.008725,721600,2,47.62,2022
233,Œródmieœcie Powiœle al. 3 Maja,Warszawa,5,17086,52.2346393,21.0355145,744000,2,59.59,1931
234,Zwierzyniec Salwator Kasztelañska,Kraków,1,21540,50.0574103,19.9133138,451375,1,28.75,2021
235,Mokotów,Warszawa,1,14065,52.1939874,21.0457809,620000,2,38.6,2020
236,Nowa Huta Czy¿yny,Kraków,2,30094,50.0816349,20.01649071,388080,2,39.6,2022
237,Œródmieœcie Œródmieœcie Po³udniowe,Warszawa,5,11109,52.2222528,21.0156995,2400000,5,144,1912
238,Dêbniki Kliny-Zacisze Spacerowa,Kraków,0,26309,50.0050868,19.8770531,433862,3,58.63,2020
239,Œródmieœcie ul. Franciszkañska,Warszawa,2,11894,52.2525583,21.0041604,1230000,2,59,2008
240,Bielany,Warszawa,0,7375,52.2776126,20.9472054,518700,2,39.9,2022
241,Podgórze Fredry,Kraków,2,28477,50.0274066,19.94132055,410000,2,34.6,2020
242,Praga-Po³udnie,Warszawa,1,12301,52.2373961,21.0712578,590016,3,52.68,2021
243,Dêbniki Ruczaj,Kraków,3,25108,50.0230156,19.9083637,850000,4,102,2005
244,Ochota ul. Mo³dawska,Warszawa,4,6764,52.1999952,20.9795466,680000,1,36.84,2018
245,Pr¹dnik Bia³y Górka Narodowa Stefana Banacha,Kraków,2,20465,50.1015333,19.9640995,462181.28,3,59.82,2021
246,Pr¹dnik Czerwony M³yñska Boczna,Kraków,0,29617,50.0453141,19.9246883,362100,2,37,1978
247,¯oliborz ul. Kaliny Jêdrusik,Warszawa,0,12323,52.2571792,20.9629941,915000,3,61.19,2015
248,Wola O¿arowska,Warszawa,4,14693,52.2465852,20.9546547,429000,1,31,1951
249,Mokotów,Warszawa,6,12933,52.1939874,21.0457809,585000,3,42.94,1970
250,Bie¿anów-Prokocim Erazma Jerzmanowskiego,Kraków,1,23861,50.0096842,20.0092457,590000,4,56.42,2015
251,Mokotów,Warszawa,0,17204,52.1939874,21.0457809,500000,3,56.3,1975
252,Œródmieœcie,Warszawa,2,7351,52.2328098,21.019067,899000,3,87,2000
253,Mokotów,Warszawa,2,13259,52.1939874,21.0457809,575000,2,44.61,1912
254,Wola,Warszawa,10,10067,52.2362379,20.9547815,619000,4,54,2020
255,Podgórze ul. Stanis³awa Klimeckiego,Kraków,5,24853,50.0492242,19.9703793,569000,3,54.36,2021
256,Mokotów Parkowa,Warszawa,2,10254,51.1754685,18.393681,3800000,3,136,2010
257,Dêbniki Ruczaj dr. Jana Piltza,Kraków,2,26927,50.0076191,19.8888826,569000,3,50.7,2020
258,Nowa Huta Czy¿yny ul. WoŸniców,Kraków,0,26133,50.0469432,19.99715344,706800,4,74.4,2022
259,Bie¿anów-Prokocim Wielicka 179,Kraków,1,27908,50.0102971,20.00857,400411,2,44.99,2021
260,Ochota,Warszawa,3,8785,52.212225,20.9726299,1210000,4,80.8,2015
261,Œródmieœcie ul. Tytusa Cha³ubiñskiego,Warszawa,4,9884,52.2253388,21.0035694,769000,2,46.1,1966
262,Bia³o³êka,Warszawa,4,11942,52.3196649,21.0211773,632899,4,72.29,2022
